price,rooms,size,type,area
470 000 €,2h+avok+kph+p (Yht.järj. 3h+k),"62,6 m²",Kerrostalo,Laakso
472 677 €,4h+k+rt+s+p+terassi,128 m²,Erillistalo,Tapaninvainio
165 000 €,"1 h, alkovi, kk, kph (Yj.1h+kk+kh)",31 m²,Kerrostalo,Itä-Pasila
339 000 €,"2h, keittiösyvennys, alkovi, kph",53 m²,Kerrostalo,Vallila
495 000 €,1-2h+k (yj 1h+k),50 m²,Kerrostalo,Kaartinkaupunki
317 000 €,"2 h, avokeittiö, kph",55 m²,Kerrostalo,Toukola
365 000 €,4h+avok+kph+wc+vh+las.parv+ransk.parv+käyttöullakko,91 m²,Rivitalo,Alppikylä
424 000 €,4h+k+kph+eril.wc+viherhuone+eteinen,"90,5 m²",Kerrostalo,Kuninkaantammi
385 000 €,"2h, avokeittiö, kph, parveke",45 m²,Kerrostalo,Punavuori
610 000 €,4h + k + p,88 m²,Kerrostalo,Lauttasaari
