area,type,room,sqm,price,price/sqm
Kamppi,kt,"1h, k, kph, parvi","29,50",281000,9525
Kallio,kt,"1h,alk,keitti&#...","46,10",316500,6866
Alppila,kt,1h+kk,"27,00",210000,7778
Kallio,kt,"1h, avokeitti&#...","24,50",219676,8966
Kallio,kt,1h+kk,"29,50",254000,8610
Munkkiniemi,kt,"1h, avok, kph, ...","36,00",293000,8139
Punavuori,kt,1h+kk,"22,60",196000,8673
Etelä-haaga,kt,"1h, alkovi, kk,...","27,00",178000,6593
Lauttasaari,kt,"1h, avokeitti&#...","30,00",190000,6333
Arabianranta,kt,1h + kk + kph + p,"34,50",235000,6812
Kamppi,kt,1 h+kk+alk,"31,00",270000,8710
Hermanni,kt,"1h, kk, kph, vh","28,00",177000,6321
Punavuori,kt,1h + kk,"21,20",155000,7311
Lauttasaari,kt,1h+kk,"22,50",199000,8844
Torkkelinmäki,kt,"1h,k,kph","53,00",340000,6415
Etu-töölö,kt,1h+kk+kph+et,"23,00",225000,9783
Punavuori,kt,1h,"29,20",236000,8082
Munkkiniemi,kt,1h+kk+kph+parveke,"33,00",267300,8100
Taka-töölö,kt,"1h,kk,kh,alkovi","40,00",320000,8000
Kamppi,kt,"1h, avok, kph","20,00",226000,11300
Laakso,kt,"1h, kk","24,00",211000,8792
Kallio,kt,1h+kk,"28,00",210000,7500
Malmi,kt,1h+kk+alkovi+kp...,"39,00",185000,4744
Kamppi,kt,1h+k,"41,00",353300,8617
Harju,kt,"1h, avok, kph","22,00",186000,8455
Ullanlinna,kt,1h+avok+kph,"24,00",205000,8542
Punavuori,kt,"1h, k","44,00",323000,7341
Pitäjänmäki,kt,1h+k+kph+p (yj:...,"33,50",126800,3785
Etelä-haaga,kt,"1h, kk, kph, vh...","30,70",212000,6906
Kallio,kt,1h+kt,"41,00",323218,7883
Kamppi,kt,"1h, kt, kph","25,50",225000,8824
Käpylä,kt,1h +kk + kph,"26,50",178000,6717
Mellunmäki,kt,"1h, k, kph/wc (...","33,50",109000,3254
