area,type,room,sqm,price,price/sqm
Lauttasaari,kt,"2h, k, kph, las...","55,00",275000,5000
Oulunkylä,kt,"2h, k, kph, las...","58,00",176000,3034
Lehtisaari,kt,"2h, k, kph, las...","63,30",238000,3760
Etu-töölö,kt,2h+k,"65,80",465000,7067
Töölö,kt,2 h+k,"71,00",476000,6704
Vesala,kt,2h+k+kph+lasite...,"49,00",139000,2837
Vuosaari,kt,"2 h, kk, kh/wc,...","52,50",155000,2952
Herttoniemi,kt,2h+k,"53,00",293000,5528
Kamppi,kt,"2h, kk, kph","29,00",280000,9655
Ruskeasuo,kt,"2h, avok, kph","37,00",224000,6054
Meilahti,kt,"2h, avokeitti&#...","46,00",497000,10804
Oulunkylä,kt,"2h, kk, vh, las...","47,00",221000,4702
Harju,kt,"2h, k, kph, alkovi","48,00",295500,6156
Mellunmäki,kt,"2h, k, kph + la...","51,50",160000,3107
Käpylä,kt,"2h, k, kph, vh,...","56,00",345000,6161
Hakaniemi,kt,"2h, k, kph, vh, p","64,00",419000,6547
Eira,kt,"2h,kk,s","42,00",450000,10714
Ylä-malmi,kt,"2h, k, lasitett...","49,00",135000,2755
Vallila,kt,"2h, k, kph, vh","51,50",350000,6796
Lauttasaari,kt,"2h, k, lasitettu p","56,00",399000,7125
Roihuvuori,kt,"2h, avokeitti&#...","56,50",260000,4602
Viikinmäki,kt,"2h, k, s + lasi...","60,00",300000,5000
Alppiharju,kt,2h+iso keitti&#...,"61,00",265000,4344
Malmi,kt,2h+kk+s,"41,00",168000,4098
Oulunkylä,kt,2h+kk,"45,00",221000,4911
Kamppi,kt,"2h, alkovi, kk,...","45,00",315000,7000
Kallio,kt,2h+kk+kph,"46,00",240000,5217
Taka-töölö,kt,"1h, k, kph, eri...","48,50",350000,7216
Kannelmäki,kt,2h+k,"51,00",210000,4118
Pajamäki,kt,"2h, k, kph,vh, ...","53,80",238000,4424
Vesala,kt,"2h, kk, kph, p","44,00",115000,2614
Alppikylä,kt,2h+avok+kph,"47,00",212000,4511
Pajamäki,kt,2h+k,"48,00",223000,4646
Malminkartano,kt,2h+k+s+kph+et+l...,"59,50",157000,2639
Punavuori,kt,2h+keittiö,"60,50",460000,7603
Oulunkylä,kt,2h+k+s+terassipiha,"61,00",343000,5623
Töölö,kt,2h+alkovi+kk+kp...,"65,50",480000,7328
Pihlajamäki,kt,2h+kk (yht.j...,"39,00",124000,3179
Punavuori,kt,2h+avok+kph (yj...,"47,50",425000,8947
Vuosaari,kt,2h +k,"59,00",145000,2458
Sörnäinen,kt,"2h, avok, kph, vh","42,50",336000,7906
Hakaniemi,kt,2h+kt,"42,50",399000,9388
Punavuori,kt,"2h, avok, kph","43,00",359000,8349
Puotinharju,kt,2 h+k+lasit.par...,"50,00",135000,2700
Mellunmäki,kt,"2h, k, kph, par...","51,50",146000,2835
Kamppi,kt,"2h, avok, kph, ...","53,00",502000,9472
Kruununhaka,kt,"2h, k, kph","56,50",589000,10425
Punavuori,kt,"2h, k, kph, s, ...","67,00",615000,9179
Tammisalo,kt,2h+k+kph,"40,00",245000,6125
Hermanni,kt,2h+k+kph,"45,20",279000,6173
Puotila,kt,2h+k+kh+parv,"47,00",145000,3085
Sörnäinen,kt,"2 h, avok, kph","50,00",258000,5160
Vuosaari,kt,"2h, k","54,00",155000,2870
Myllypuro,kt,"2-3h, k, kph, v...","70,90",223000,3145
Vallila,kt,2h+kk+kph,"41,00",270000,6585
Vuosaari,kt,"2h, kk, kph, sa...","45,00",192500,4278
Punavuori,kt,"2h, k, rt, kph,...","52,00",623000,11981
Kannelmäki,kt,2h+kk+parveke,"40,00",177000,4425
Lauttasaari,kt,2 h+kk+kph+p,"55,00",429621,7811
Tapulikaupunki,kt,"2 h, k, kph, la...","63,00",141000,2238
Lauttasaari,kt,"2h, avok, kph, ...","44,00",332000,7545
Mellunmäki,kt,"2h, k, kph, vh,...","51,50",110005,2136
Myllypuro,kt,"2h, k, kph, vh,...","52,50",174000,3314
Ruskeasuo,kt,"1r, stugkö...","40,00",278000,6950
Etelä-haaga,kt,2h+kk+p,"43,00",235000,5465
Kallio,kt,"2h, avok, kph, p","45,50",325000,7143
Vuosaari,kt,2h+k+kph+vh+par...,"49,50",148500,3000
Jätkäsaari,kt,2h+k+s,"62,00",358011,5774
Kallio,kt,"2 h, kk, kph, vh","38,50",265000,6883
Puotila,kt,2h+k+kh+p,"51,00",194000,3804
Pasila,kt,2h+kk+s,"53,00",269000,5075
Herttoniemi,kt,2h+avokeitti...,"54,50",265000,4862
Kurkimäki,kt,2h+k,"55,50",122000,2198
Malmi,kt,"2h, k, kph, s, ...","45,50",211000,4637
Etu-töölö,kt,"2h, kk, kph, wc...","57,00",478000,8386
Etu-töölö,kt,"2h, kk, halli","59,10",380000,6430
Alppila,kt,"2h, avok","40,00",300000,7500
Arabianranta,kt,2h+kk+ terassipiha,"41,50",293500,7072
Pajamäki,kt,"2h, k, kph, vh,...","53,80",242000,4498
Ullanlinna,kt,"2h, k, kph, vh, p","52,00",515000,9904
Ullanlinna,kt,"2h, k, ","63,00",730500,11595
Lauttasaari,kt,2h+pk,"50,00",300000,6000
Vuosaari,kt,2h+k,"51,00",145000,2843
Käpylä,kt,"2h, kk, kph","41,00",279000,6805
Munkkiniemi,kt,2h+kk+kph+p,"41,00",310000,7561
Munkkiniemi,kt,"2h, avok, kph, p","42,00",304000,7238
Kallio,kt,"43,5","43,50",257500,5920
Ullanlinna,kt,"2h, avok, kph","44,00",504240,11460
Kivikko,kt,"2h, avok, kph, ...","45,00",189000,4200
Lauttasaari,kt,"1h, avok, kph, ...","59,50",460000,7731
Alppiharju,kt,2h+avokeitti...,"36,60",310000,8470
Meilahti,kt,2h+avok+kph+vh,"40,00",295000,7375
Meilahti,kt,"2h, avokeitti&#...","46,00",483000,10500
Jätkäsaari,kt,"2h, kk, kph, s,...","47,50",293481,6179
Aurinkolahti,kt,"2h,k,s, lasitet...","48,00",263000,5479
Herttoniemenranta,kt,2h+k+terassi,"55,00",409000,7436
Aurinkolahti,kt,2h+k+s,"56,00",252796,4514
Aurinkolahti,kt,2h+kk+s,"56,00",268000,4786
Vesala,kt,"2h, k, s","57,50",175000,3043
Etu-töölö,kt,"2h, k, kph, wc","59,80",425000,7107
Munkkiniemi,kt,2h+halli+k+kph,"61,20",425000,6944
Etu-töölö,kt,"2h, avok, etein...","73,50",587000,7986
Vallila,kt,"2h, k, kph","31,00",190000,6129
Taka-töölö,kt,"2h, alkovi, kk,...","40,00",291000,7275
Länsi-pasila,kt,"2h, avok, kph j...","45,00",257000,5711
Etelä-haaga,kt,2h+avok+kph+p (...,"46,00",292000,6348
Kallio,kt,"2h, avok, kph","47,00",395000,8404
Taka-töölö,kt,2h+k+kph+vh (yj...,"47,50",379000,7979
Pohjois-haaga,kt,"2h, k, kph, par...","49,00",246000,5020
Kruununhaka,kt,"2h, k, kph","50,00",390000,7800
Kallio,kt,"2h, k, kph","51,50",346000,6718
Maunula,kt,"2h, k, kph, vh,...","53,70",237000,4413
Konala,kt,2h+k+s,"55,50",202000,3640
Etelä-haaga,kt,2h+kk+kph+p,"42,00",235000,5595
Sörnäinen,kt,"1h, avok, kph, ...","48,00",310000,6458
Aurinkolahti,kt,"2h, k, s, lasit...","50,00",310000,6200
Viikki,kt,"2h, avok, kph, ...","52,00",235000,4519
Roihuvuori,kt,2h+k+parveke,"53,00",255000,4811
Ullanlinna,kt,"3h yj:n mukaan,...","65,50",650000,9924
Itäkeskus,kt,2h+k+s,"53,00",154000,2906
Mellunmäki,kt,"2h, k, kph, las...","55,00",165000,3000
Ylä-malmi,kt,"2h,k,kh,vh,sauna","57,50",210000,3652
Malmi,kt,"2h,h,ransk.parv.","52,00",105000,2019
Kallio,kt,"2h, k","46,50",370000,7957
Siltamäki,kt,2h+pk,"50,00",92500,1850
Pitäjänmäki,kt,"2 huonetta, avo...","50,00",302000,6040
Munkkivuori,kt,"2 h, k, kh, ran...","50,40",290000,5754
Katajanokka,kt,2h+kk+vh+kph,"62,00",486000,7839
Ullanlinna,kt,"2h, avok, kph, ...","43,50",333000,7655
Ruskeasuo,kt,"2h,k, lasitettu...","51,00",420000,8235
Ullanlinna,kt,2h+k,"52,00",480000,9231
Munkkiniemi,kt,"2 h, k, kph, pa...","53,20",357000,6711
Savela,kt,"2 h, k, kph, p ...","57,50",185000,3217
Puotila,kt,"2h, k, kph, p","57,50",190000,3304
Kallio,kt,2h+kk+p (Yht.j&...,"37,50",291000,7760
Etu-töölö,kt,"2h, avok, kph, wc","44,40",361000,8131
Pitäjänmäki,kt,2h+k,"45,00",237500,5278
Siltamäki,kt,"2h, kk","48,50",108000,2227
Pukinmäki,kt,2h+k+s,"55,00",198000,3600
Kurkimäki,kt,"2h, k, kph/suih...","57,00",170000,2982
Savela,kt,2h+k+kph+p (YJ:...,"58,50",195000,3333
Katajanokka,kt,2h+k+parveke,"62,50",373000,5968
Etu-töölö,kt,"1-2h, kk, alkov...","40,00",334000,8350
Laakso,kt,"2h, k, kph, par...","47,50",340000,7158
Pohjois-haaga,kt,"2h, avokeitti&#...","52,00",283000,5442
Laajasalo,kt,2h + kk,"39,00",212200,5441
Herttoniemenranta,kt,2h+kt+kph+s+parv,"41,50",269000,6482
Laakso,kt,"1-2h, avokeitti...","43,00",326000,7581
Tapaninvainio,kt,"2h,k","50,00",158500,3170
Pohjois-haaga,kt,"2 h, k, kph ja ...","53,00",250000,4717
Oulunkylä,kt,"2h, k ja lasite...","58,00",146500,2526
Aurinkolahti,kt,"2h, avok, sauna...","58,00",270000,4655
Siltamäki,kt,"2h, k, kph,wc,v...","63,50",115000,1811
Alppila,kt,2h,"38,00",258000,6789
Harju,kt,"2h, avok, kph","44,00",320000,7273
Kallio,kt,"2h, k, kph, vh,...","54,10",392500,7255
Haaga,kt,2h+avok+kph,"32,00",153000,4781
Meilahti,kt,2h + kk + kph,"39,00",279000,7154
Lassila,kt,"2h, avokeitti&#...","44,00",285000,6477
Myllypuro,kt,"2h, kph, vh, la...","52,50",175000,3333
Lassila,kt,"2h, avok, kph, ...","57,50",260000,4522
Oulunkylä,kt,"2h, k, s, laist...","58,00",274000,4724
Konepaja,kt,"2h, avokeitti&#...","45,50",362000,7956
Vuosaari,kt,"2h, k, vh, kph,...","51,50",147000,2854
Oulunkylä,kt,2h+k,"56,00",203000,3625
Viikki,kt,"2h,avok,kph,s,l...","56,50",286000,5062
Herttoniemenranta,kt,2h+k+s+vh+lasit...,"58,00",417000,7190
Kontula,kt,2h+k+vh+kph+eri...,"59,50",170000,2857
Lauttasaari,kt,"2h, avok, lasit...","40,50",373000,9210
Sörnäinen,kt,2h,"44,50",270000,6067
Myllypuro,kt,"2h, kk, kph, la...","50,50",170000,3366
Herttoniemi,kt,"2h, k, kph ","55,50",265000,4775
Tapulikaupunki,kt,2h+k+kph+parv. ,"58,50",140000,2393
Hakaniemi,kt,"2h, k, kph, vh, p","65,00",465000,7154
Vesala,kt,2h/avokeitti...,"49,00",141500,2888
Herttoniemenranta,kt,2h+k+lasitettu ...,"52,00",383000,7365
Vuosaari,kt,"2h, k, kph, vh,...","54,00",147000,2722
Myllypuro,kt,2h + avok + saa...,"59,00",258700,4385
Kalasatama,kt,"2h, avok, kph, ...","40,50",386000,9531
Pikku huopalahti,kt,2h+kk+s,"51,00",326000,6392
Alppila,kt,2h+k+wc/kph+par...,"61,00",360000,5902
Lauttasaari,kt,2 h + avokeitti...,"65,00",419000,6446
Konala,kt,2h+avok+kph+p,"43,50",205000,4713
Kallio,kt,2h+kk,"50,00",323000,6460
Myllypuro,kt,2h+kk+vh+kph+la...,"50,50",189000,3743
Lassila,kt,2 h+k+kph+s+las...,"55,50",207000,3730
Vuosaari,kt,"2h, k, kph, ter...","59,00",155000,2627
Länsi-pasila,kt,"2 h, k, s, lasi...","64,00",294000,4594
Katajanokka,kt,"2h, avok, kph, vh","34,00",349080,10267
Taka-töölö,kt,1h+avok.+ kph (...,"40,00",308000,7700
Pihlajamäki,kt,2h+kk+kph+parveke,"45,50",167000,3670
Herttoniemi,kt,2h+k,"47,00",250000,5319
Vuosaari,kt,2h + kk,"50,00",180000,3600
Kallio,kt,"2h,alkovi, avok...","50,00",405000,8100
Punavuori,kt,2h+k+palv.h+ull...,"76,00",730000,9605
Kallio,kt,"2h,kk,kh","60,50",365000,6033
Punavuori,kt,"2h, k, kph","50,50",333000,6594
Lassila,kt,2h + k + lasite...,"55,00",210000,3818
Kallio,kt,"2h,kt,kph,s,par...","62,00",540000,8710
Etu-töölö,kt,"2h, k, rt, alkovi","77,50",564000,7277
Sörnäinen,kt,"2h, kk, kph/wc, vh","43,00",268000,6233
Kannelmäki,kt,2h + k,"51,00",200000,3922
Punavuori,kt,"2h, avok,kph,wc","48,00",434500,9052
Munkkivuori,kt,"2h, k, kph, par...","49,00",294000,6000
Etelä-haaga,kt,"2h, k, kph, vh, p","52,00",279000,5365
Lauttasaari,kt,"2h, avok, lasit...","56,50",379000,6708
Pihlajamäki,kt,"2 h, kk, kph, r...","40,50",145000,3580
Hermanni,kt,2h+avok+kph,"45,00",298000,6622
Konepaja,kt,2h+kt+s+ranskal...,"45,50",360000,7912
Maunula,kt,2h+k,"55,40",160000,2888
Puotinharju,kt,2h+k+vh+kph+p,"55,50",160000,2883
Tapanila,kt,"2h, kk, las.parv.","43,50",156000,3586
Meilahti,kt,2h+kk,"50,00",280000,5600
Vuosaari,kt,2h+k,"53,00",166000,3132
Pihlajisto,kt,2h+k,"59,50",163000,2739
Taka-töölö,kt,"3 h, kk, kph, p","62,00",505000,8145
Toukola,kt,"2 h, k, kh (Yj ...","40,00",260000,6500
Kurkimäki,kt,2h+k+s,"52,50",159500,3038
Kulosaari,kt,2h+k,"53,00",350000,6604
Kontula,kt,2h+kk,"53,50",149000,2785
Oulunkylä,kt,"2h, k, kph ja p...","54,00",209000,3870
Vuosaari,kt,"2h, k, kph/wc, p","55,00",165000,3000
Puotila,kt,"2h, k + parveke","55,50",235000,4234
Lassila,kt,"2h, k, s, vh, l...","56,00",198000,3536
Punavuori,kt,"2h,avok,kph","40,50",356000,8790
Meilahti,kt,"2h, k, kph, par...","44,00",320000,7273
Malmi,kt,"2 h, avokeitti&...","49,50",161000,3253
Vartiokylä,kt,2h+k,"50,00",140000,2800
Sörnäinen,kt,2h+k+kph+vh,"50,00",235000,4700
Vallila,kt,1H+K+KH+ET Yj *...,"50,00",326100,6522
Etu-töölö,kt,2h+k+kph+vh+et+...,"58,50",455000,7778
Meilahti,kt,1h+k+kph,"34,40",266000,7733
Arabianranta,kt,"2h, kk, lasit.t...","45,00",278000,6178
Etu-töölö,kt,"2h, k, kph, sauna","49,50",400000,8081
Malmi,kt,"2h,k,s","50,00",134001,2680
Myllypuro,kt,"2h, k, kph, las...","50,00",165000,3300
Maunula,kt,"2h, k, kph, par...","51,00",186000,3647
Konala,kt,"2h, k, kph ja l...","51,50",171000,3320
Töölö,kt,"2h, k, alk, kph","52,00",436050,8386
Harju,kt,"2h, k, kph","58,00",356000,6138
Meilahti,kt,2h+kk,"32,40",250000,7716
Taka-töölö,kt,2h+kk+kph,"48,50",375000,7732
Puotinharju,kt,"2h,k","49,00",172500,3520
Vuosaari,kt,2h+kk+s,"51,00",215000,4216
Punavuori,kt,"2h, k, kph, s, ...","62,50",810000,12960
Merihaka,kt,"2h, avok, kph, ...","41,50",282000,6795
Taka-töölö,kt,2h+avok+työ...,"41,50",376000,9060
Etu-töölö,kt,"2h, kk, kph","46,00",347000,7543
Mellunmäki,kt,"2h,kk,kh","48,00",140000,2917
Haaga,kt,"2h, k, kph, vh,...","48,00",270000,5625
Tammisalo,kt,2h+k,"51,00",210000,4118
Töölö,kt,2h,"54,00",420000,7778
Pikku huopalahti,kt,"2h,k","60,50",305000,5041
Etu-töölö,kt,2h+k+kph+et,"86,00",645000,7500
Sörnäinen,kt,"2h, avok, kph j...","30,50",226000,7410
Kaartinkaupunki,kt,"1-2h,avok,kph,et","37,00",343000,9270
Kannelmäki,kt,"2h, kk, kph, parv.","39,00",184000,4718
Laajasalo,kt,2h+k+kph+vh+las...,"40,00",195000,4875
Kurkimäki,kt,2h + avok + kph...,"45,50",155000,3407
Myllypuro,kt,"2h, kk, kph, la...","50,50",167200,3311
Munkkiniemi,kt,"2h, k, kph, 2xv...","53,00",347000,6547
Mellunmäki,kt,"2h, k, kph, par...","55,00",148500,2700
Kallio,kt,"2h,k","66,70",394000,5907
Vallila,kt,2h,"38,00",245000,6447
Kurkimäki,kt,2h+kk,"47,50",135000,2842
Arabianranta,kt,"2h, avok, kph, ...","49,00",335000,6837
Lauttasaari,kt,2h+kt+s+ lasite...,"49,50",534000,10788
Patola,kt,"2 h, k, kph, la...","50,00",165000,3300
Pohjois-haaga,kt,2h+k,"51,00",287000,5627
Kontula,kt,"2h, kk, lasitet...","42,50",152000,3576
Myllypuro,kt,"2h, kk, kph, la...","50,50",170000,3366
Kruununhaka,kt,"2h, kk, kph","42,00",255000,6071
Kallio,kt,2 h+k+kph,"45,00",236000,5244
Kamppi,kt,2 h+ avokeitti&...,"47,50",350000,7368
Kamppi,kt,2h+k+kph,"48,50",420000,8660
Fallpakka,kt,"2h, avok, kph, ...","50,00",159500,3190
Ruskeasuo,kt,"2h, k, kph, et","50,50",340875,6750
Aurinkolahti,kt,"2h, k, sauna ja...","59,50",293000,4924
Munkkivuori,kt,"2h,kk, lasitett...","42,00",270000,6429
Hermanni,kt,"2h,kk,kh","43,00",255500,5942
Tapanila,kt,2h+kk+s,"49,00",189000,3857
Myllypuro,kt,"2h, kk, kph, vh...","50,50",181000,3584
Vuosaari,kt,"2h, k, kph + la...","50,80",143000,2815
Pukinmäki,kt,"2 h, k, kph, pa...","52,50",177000,3371
Harju,kt,2h+kk+kh,"57,70",322000,5581
Vuosaari,kt,"2h, avok, kph, ...","58,50",175000,2991
Kivikko,kt,"2h, k, kph, s, ...","61,00",205000,3361
Etelä-haaga,kt,"2h+kk+p, yhti&#...","36,00",200000,5556
Käpylä,kt,"2h, avok, kph","39,50",268000,6785
Hermanni,kt,2 h+kk+kh,"43,50",263500,6057
Länsi-pasila,kt,"2h, avok, vh, k...","50,50",250000,4950
Pohjois-haaga,kt,"2h, k, kph, las.p","54,50",200000,3670
Myllypuro,kt,2h + kk,"60,00",195000,3250
Taka-töölö,kt,"2h, k, halli, k...","66,00",410000,6212
Kruununhaka,kt,"2h+piianhuone, ...","76,50",570000,7451
Käpylä,kt,2h+kk+kph+p ,"38,00",268000,7053
Oulunkylä,kt,2h+kk,"41,00",209000,5098
Mellunmäki,kt,2h+pk,"41,50",122000,2940
Puotila,kt,2h+k,"51,50",200000,3883
Töölö,kt,"2h, k, kh","52,00",325000,6250
Pitäjänmäki,kt,"2h,kt","53,50",302000,5645
Siltamäki,kt,2h+k+vh+las.parv. ,"62,00",115000,1855
Kallio,kt,"2h, k, kph","63,50",438000,6898
Herttoniemenranta,kt,2h+kk+kph/s/wc+...,"47,00",315000,6702
Kontula,kt,"2h, kk, kph","47,50",145000,3053
Malmi,kt,2h+k,"50,00",184000,3680
Pajamäki,kt,2h+kk,"50,00",239001,4780
Ruskeasuo,kt,2h+k+kph (yj. 1...,"31,00",242000,7806
Ullanlinna,kt,"2h, avok, kph","41,00",370000,9024
Kallio,kt,2h+avok+kph+vh,"42,50",310000,7294
Hermanni,kt,2h+kk+kph+vh+pa...,"43,00",225000,5233
Ullanlinna,kt,"2h, avok, kph/w...","50,50",467000,9248
Taka-töölö,kt,"2 h, halli, kt,...","53,00",312202,5891
Itäkeskus,kt,2h+k+kph+parvek...,"58,50",165000,2821
Myllypuro,kt,"2h,k,lasitettu ...","61,00",167000,2738
Punavuori,kt,2h + k,"62,50",400000,6400
Harju,kt,"2h, avok, kph","31,00",215000,6935
Kallio,kt,"2h,kk, parveke","42,00",256777,6114
Alppila,kt,2 h+kk+kph+vh+parv,"42,00",280000,6667
Alppiharju,kt,"2h, avok, kph","45,60",379000,8311
Siltamäki,kt,"2h, kph, vh, pa...","63,50",186312,2934
Käpylä,kt,"2h, kk, kph, pa...","38,00",258500,6803
Kamppi,kt,"1-2h, avok, kph","49,00",440000,8980
Koskela,kt,2h+k+vh (yhti&#...,"53,00",147000,2774
Kallio,kt,"2h, keittiö...","54,00",365000,6759
Malmi,kt,"2h, kk, kph, s,...","56,00",212000,3786
Laajasalo,kt,"2h, k, sauna, k...","56,00",259000,4625
Tapaninvainio,kt,2h+k+s,"58,50",193500,3308
Pihlajisto,kt,2h+k,"61,60",162000,2630
Alppila,kt,2h+kk+kph+vh,"42,00",272000,6476
Pikku huopalahti,kt,"2h, avok, kph, ...","44,50",310000,6966
Malmi,kt,"2h,kt,s,lasitet...","45,50",221500,4868
Tapanila,kt,2h+k,"56,00",160000,2857
Vallila,kt,"2 h, avokeitti&...","56,00",295000,5268
Myllypuro,kt,"2h, k, parveke","61,00",145000,2377
Taka-töölö,kt,"2h, kk, kph","40,00",291000,7275
Pukinmäki,kt,"2h, kk, kph/wc,...","48,00",145000,3021
Kuninkaantammi,kt,2h+kt,"48,50",244900,5049
Etelä-haaga,kt,"2h, k, kph, vh, p","51,00",287000,5627
Kontula,kt,2h+kk+lasitettu...,"56,50",179000,3168
Viikinmäki,kt,"2h, k, rt, kph/...","60,00",277000,4617
Pohjois-haaga,kt,2h+kk,"35,00",192500,5500
Etelä-haaga,kt,2k+kk+kph (yj:n...,"37,00",182000,4919
Eira,kt,"2h, k, kph","40,00",406000,10150
Ullanlinna,kt,"2h, k","54,50",504564,9258
Pihlajamäki,kt,"2h, kk, kph vh,...","55,00",175000,3182
Oulunkylä,kt,"2h, k, kph, vaa...","59,50",225000,3782
Meilahti,kt,"2h, avokeitti&#...","44,70",296000,6622
Käpylä,kt,"2h, kk","46,50",299000,6430
Hakaniemi,kt,"2h, avok, kph, ...","65,00",496000,7631
Mellunmäki,kt,2h+kk,"47,00",156178,3323
Lauttasaari,kt,"2h, k, kph, par...","48,00",379500,7906
Puotila,kt,2h+k+kph+p,"52,50",159400,3036
Munkkisaari,kt,"2h, k, kph, par...","54,00",578000,10704
Lauttasaari,kt,"2h, k, kph, par...","56,00",355000,6339
Herttoniemenranta,kt,2-3h+k+s+lasite...,"62,00",297910,4805
Kamppi,kt,2h+kk+halli+kph,"43,00",350000,8140
Pukinmäki,kt,"2h, k, lasitett...","54,00",168000,3111
Kallio,kt,2h+k+parv.,"54,50",339000,6220
Ullanlinna,kt,"2h, kk, kph","55,30",575120,10400
Meilahti,kt,"2h, kk ja vh","40,00",245000,6125
Etelä-haaga,kt,2h+kk+kph+p,"42,00",235000,5595
Töölö,kt,2h+kph,"45,00",291000,6467
Tapanila,kt,2h+k,"51,00",200100,3924
Munkkiniemi,kt,"2h, keittiö...","51,00",448000,8784
Ruskeasuo,kt,2r+öppet k...,"44,00",310000,7045
Roihuvuori,kt,2 h + kk + rt,"51,50",190000,3689
Kivihaka,kt,2h+k,"54,50",258500,4743
Kontula,kt,2h+k+kph+vh+par...,"55,50",102000,1838
Kallio,kt,"2h, avok, kph","52,00",395500,7606
Herttoniemi,kt,"2h, avok, kph","34,00",231000,6794
Tapanila,kt,"2h, kk, kph/wc, vh","36,00",152000,4222
Mellunmäki,kt,"2h, pk, kph, prv","40,50",132000,3259
Laajasalo,kt,"2h, k, kph, s, p","56,00",263000,4696
Tapanila,kt,"2h,k, kph, p","51,00",150000,2941
Etelä-haaga,kt,"2h, k, kph, las...","53,00",301000,5679
Mellunkylä,kt,"2h, k, kph, las...","54,00",135000,2500
Tapanila,kt,2h+k,"54,00",172000,3185
Kalasatama,kt,"2h, kt, kph, vi...","54,50",484120,8883
Lauttasaari,kt,2h+k+parveke,"55,00",429000,7800
Lauttasaari,kt,2h+kk,"56,50",452000,8000
Etu-töölö,kt,"2h, k, kph, wc, et","81,00",665000,8210
Käpylä,kt,"2h, kk, kph, pa...","38,00",260000,6842
Punavuori,kt,"2h,k,kph,las.p.","44,00",390000,8864
Pohjois-haaga,kt,"2 h, k, kh, p","47,00",228000,4851
Hermanni,kt,"2h, kk, kph, vh...","47,00",309000,6574
Oulunkylä,kt,"2 h, k, s, lasi...","49,50",311599,6295
Viikki,kt,"2h, avok., kph/...","51,50",269000,5223
Kallio,kt,2h+k,"51,50",336000,6524
Maunula,kt,"2h,kk, kph, p (...","40,90",150000,3667
Malminkartano,kt,"2h, k, kph, iso...","50,00",219000,4380
Vuosaari,kt,2h+k+kph+p,"51,00",145000,2843
Pihlajamäki,kt,2h+kk,"55,00",108000,1964
Pukinmäki,kt,"2 h, k, kph/wc,...","55,00",174000,3164
Vuosaari,kt,2h+k+kph+parvek...,"56,00",159500,2848
Taka-töölö,kt,2h+avok+kph,"60,00",430000,7167
Paloheinä,kt,"2 h, k, kph/s, ...","61,00",248000,4066
Kruununhaka,kt,"2h, k, kph, wc","66,00",455000,6894
Pukinmäki,kt,"2h, avok, sauna...","68,00",220000,3235
Malminkartano,kt,"1-2h loft, avok...","43,50",226000,5195
Lauttasaari,kt,2h + k (yj:n mu...,"60,00",468000,7800
Suurmetsä,kt,"2h, k, kph, par...","63,00",130000,2063
Kurkimäki,kt,2h+kk+kph+parve...,"47,50",123000,2589
Harju,kt,"1h, k, kph, parvi","48,10",312000,6486
Taka-töölö,kt,"2h, alkovi, kk,...","48,50",392000,8082
Myllypuro,kt,"2h, kk, khp/wc,...","50,50",175000,3465
Konala,kt,"2h, k, kph, s, ...","55,50",205000,3694
Taka-töölö,kt,"2h, k, halli, k...","74,00",440000,5946
Etu-töölö,kt,2h+k+kph+halli,"82,00",702000,8561
Taka-töölö,kt,"2h, kk, alkovi,...","35,20",234500,6662
Kamppi,kt,2h+kt+kph,"45,00",450000,10000
Käpylä,kt,"2h, k, vh, kph/...","60,50",360000,5950
Lauttasaari,kt,2h+ kk+kph+vh+p,"42,00",316000,7524
Meilahti,kt,2h+kk+kph,"47,00",268000,5702
Kallio,kt,"2h+k+kh, jossa WC","50,00",240000,4800
Etu-töölö,kt,"1-2h, alkovi, k...","56,80",447000,7870
Herttoniemenranta,kt,"2h, avok, kph, ...","46,00",285000,6196
Eiranranta,kt,"2h, avok, kph, ...","61,50",678000,11024
Jätkäsaari,kt,"2h, k, kph,s,te...","66,50",703000,10571
Ruskeasuo,kt,2r+öppet k...,"49,50",420000,8485
Malmi,kt,2h+k+s,"54,50",170000,3119
Kontula,kt,2h+k,"59,00",154000,2610
Taka-töölö,kt,"2h, k, halli, k...","88,00",700000,7955
Viikinmäki,kt,"2h, avok, kph/s...","50,00",270000,5400
Lauttasaari,kt,"2h, k, rt, kph,...","51,50",393000,7631
Kallio,kt,2h+k,"57,00",320000,5614
Käpylä,kt,"2h, kk","38,00",229000,6026
Kallio,kt,2h+avok.+kh+3kp...,"39,50",318000,8051
Kannelmäki,kt,"2 h, k, kph, parv.","48,60",180000,3704
Kamppi,kt,2 h+k,"56,70",475000,8377
Malmi,kt,2h+k+s,"57,00",195509,3430
Oulunkylä,kt,"2h, k, kph, las...","58,00",150000,2586
Kamppi,kt,"2h, kk, kh","59,00",350000,5932
Kannelmäki,kt,2h+k+kph,"50,50",220000,4356
Alppila,kt,1h+k+kph,"42,00",284000,6762
Käpylä,kt,"2h, kt","39,50",255000,6456
Alppila,kt,2h+kk+kph+vh+la...,"41,00",184000,4488
Kurkimäki,kt,"2 h, k, s, kph, p","60,00",172000,2867
Savela,kt,"2h, kk, kph, wc...","37,00",164000,4432
Kontula,kt,2h+k+kph+erill....,"56,50",158000,2796
Lauttasaari,kt,2h+k+kph+s+p,"52,50",380000,7238
Itäkeskus,kt,2h +k + las.pa ...,"62,50",156000,2496
Lauttasaari,kt,"2 h, k, parveke","52,00",385000,7404
