area,type,room,sqm,price,price/sqm,rooms
Kannelmäki,Kerrostalo,"2h, k, kph, vh,...",54.0,220000,4074,2
Oulunkylä,Kerrostalo,"2h, k, kph, par...",53.5,228000,4262,2
Malmi,Kerrostalo,2h+k+s+erill.wc...,66.0,245000,3712,2
Käpylä,Kerrostalo,"2 h, k (Yj. muk...",40.0,224000,5600,2
Meilahti,Kerrostalo,2h+kk,40.0,250000,6250,2
Kallio,Kerrostalo,2h+k,41.0,301000,7341,2
Kallio,Kerrostalo,"2h, k",50.0,365000,7300,2
Puotila,Kerrostalo,2h+k+vh+p,52.0,178000,3423,2
Itäkeskus,Kerrostalo,"2h,k,kph,p (2h+...",57.0,155000,2719,2
Arabianranta,Kerrostalo,"2h, keittiö...",58.0,350000,6034,2
Merihaka,Kerrostalo,2h+kk,47.0,213000,4532,2
Latokartano,Kerrostalo,"2h,kt",48.0,254000,5292,2
Aurinkolahti,Kerrostalo,"2h, kk, kph, s,...",49.0,235000,4796,2
Lauttasaari,Kerrostalo,2h+avok+kph+las...,36.0,295000,8194,2
Kruununhaka,Kerrostalo,"2h, avok, kph, ...",37.5,465000,12400,2
Koskela,Kerrostalo,"2h, kt",45.0,277000,6156,2
Munkkivuori,Kerrostalo,"2h, k, kph, las...",47.0,262000,5574,2
Vallila,Kerrostalo,"2h, kk, kph",48.5,272000,5608,2
Vallila,Kerrostalo,2 h+kk,50.0,300000,6000,2
Katajanokka,Kerrostalo,"2h, avokeitti&#...",57.0,600000,10526,2
Hakaniemi,Kerrostalo,"2h, k, vh, kph/...",58.0,406000,7000,2
Vallila,Kerrostalo,2h+avok+kph (yh...,29.5,216000,7322,2
Käpylä,Kerrostalo,2h+kk+parveke,38.5,258500,6714,2
Vuosaari,Kerrostalo,2h+k,50.8,175000,3445,2
Hakaniemi,Kerrostalo,"2h, k, kph, eri...",46.3,425500,9190,2
Hermanni,Kerrostalo,"2h, k, kph, vh,...",54.5,292000,5358,2
Vartiokylä,Kerrostalo,"2h, k, kph, eri...",56.0,145000,2589,2
Punavuori,Kerrostalo,"2h, avok, kph",56.5,628500,11124,2
Aurinkolahti,Kerrostalo,"2h, k, kph, ter...",58.0,270000,4655,2
Ruskeasuo,Kerrostalo,"2h, k, sauna/kp...",72.0,455000,6319,2
Vallila,Kerrostalo,2h+avok+kph+las...,39.5,381000,9646,2
Käpylä,Kerrostalo,"2h, avok, kph, ...",45.0,287000,6378,2
Puotinharju,Kerrostalo,"2h, k, kph, p",46.0,140000,3043,2
Kallio,Kerrostalo,2h+kk+kh,48.0,355000,7396,2
Lassila,Kerrostalo,"2h, kk, kph, la...",49.5,211000,4263,2
Munkkiniemi,Kerrostalo,"2h, k, kph, par...",53.0,335000,6321,2
Etu-töölö,Kerrostalo,2h+kk,54.0,440000,8148,2
Marjaniemi,Kerrostalo,2h+k+s+las.parv,57.5,190000,3304,2
Vuosaari,Kerrostalo,"2h, k, kph",63.0,170000,2698,2
Harju,Kerrostalo,"2h,rt,kh,ty...",64.5,401000,6217,2
Taka-töölö,Kerrostalo,"2h, k, kph, par...",43.0,375500,8733,2
Lauttasaari,Kerrostalo,2h+avok+kph+las...,47.0,308000,6553,2
Herttoniemi,Kerrostalo,2h+k,48.0,270000,5625,2
Etelä-haaga,Kerrostalo,"2h, avokeitti&#...",54.0,310000,5741,2
Jätkäsaari,Kerrostalo,"2h, k, kph, s, ...",56.0,490000,8750,2
Kallio,Kerrostalo,2h+k+kph+parveke,60.0,385000,6417,2
Punavuori,Kerrostalo,"2h, k, kph, wc",83.4,655000,7854,2
Kontula,Kerrostalo,"2h, kk (yht.j&#...",47.5,132000,2779,2
Käpylä,Kerrostalo,"2h,k,khwc,p",49.0,258000,5265,2
Herttoniemi,Kerrostalo,"2h, k, kph, vh,...",57.2,283000,4948,2
Pihlajisto,Kerrostalo,"2 h, k, kh/wc, ...",59.5,185000,3109,2
Kaartinkaupunki,Kerrostalo,"2h, avok, kph",41.0,409000,9976,2
Munkkivuori,Kerrostalo,"2 h, k, kh, vh",55.6,262000,4712,2
Kalasatama,Kerrostalo,"2h, k, kph, sau...",58.5,442000,7556,2
Länsi-pasila,Kerrostalo,2h+kt+s,61.0,380000,6230,2
Pikku huopalahti,Kerrostalo,3H+K,77.0,431879,5609,3
Puotila,Kerrostalo,"2h, k, kph, par...",55.0,191000,3473,2
Latokartano,Kerrostalo,"2h, k, s, lasit...",60.0,276000,4600,2
Katajanokka,Kerrostalo,"2h,k,halli,kph",61.6,470000,7630,2
Taka-töölö,Kerrostalo,"2h, avok, kph, ...",40.0,310000,7750,2
Lauttasaari,Kerrostalo,"2h, avok, kph, ...",42.5,435000,10235,2
